مقبول لم يستلم بطاقة
مقبول - مساعدات غير غذائية
مستعجل - استلام مرة واحدة
ملغى
الفريق الجوال
مقبول
تقييك - تم تقييمه
تقييم - للدراسة
جديد
حالة1
حالة2
حالة3
حالة
قيد الدراسة
مشاكل - نقص بيانات
مقبول - تسجيل شهري
مقبول - جيد
مقبول - سيء
مقبول - سيء جدا
مقبول - مساعدات طبية
مقبول - مساعدات طبية - دوائية
ملغى - غير مستحق
